title,format,year,price,author,rating,publisher,length,city/country,categories,quantity
The Spanish Love Deception,Paperback,2021,15.74,Elena Armas,5.0,Simon & Schuster Ltd,480.0,"London, United Kingdom",Fiction Books,59
It Ends With Us: The most heartbreaking novel you'll ever read,Paperback,2016,16.77,Colleen Hoover,4.42,Simon & Schuster Ltd,384.0,"London, United Kingdom",Contemporary Fiction,45
Immune,Hardback,2021,50.66,Philipp Dettmer,4.58,HODDER & STOUGHTON,368.0,"London, United Kingdom",Medical,49
The Midnight Library,Paperback,2021,15.0,Matt Haig,4.09,Canongate Books Ltd,304.0,"Edinburgh, United Kingdom",Contemporary Fiction,12
Ugly Love,Paperback,2016,19.28,Colleen Hoover,4.26,Simon & Schuster Ltd,352.0,"London, United Kingdom",Contemporary Fiction,37
The Love Hypothesis,Paperback,2021,21.99,Ali Hazelwood,4.47,Penguin Putnam Inc,336.0,"New York, United States",Romance,21
The Promise,Hardback,2021,,Damon Galgut,4.09,Vintage Publishing,304.0,"London, United Kingdom",Contemporary Fiction,44
Death to Jar Sauce,Paperback,2021,28.9,Nat's What I Reckon,,PENGUIN AUSTRALIA,336.0,"Ferntree Gully, VIC, Australia","Graphic Novels, Anime & Manga",52
"Jujutsu Kaisen, Vol. 9",Paperback,2021,14.43,Gege Akutami,4.65,"Viz Media, Subs. of Shogakukan Inc",192.0,"San Francisco, United States",Graphic Novels: Manga,27
Dune,Paperback,2011,19.8,Frank Herbert,4.24,Penguin Putnam Inc,896.0,"New York, United States",Classic Books & Novels,55
The Dawn of Everything,Hardback,2021,42.25,David Graeber,4.43,"Farrar, Straus and Giroux",704.0,New York,Classical History / Classical Civilisation,49
Seven Husbands of Evelyn Hugo,Paperback,2021,16.91,Taylor Jenkins Reid,,Simon & Schuster Ltd,400.0,"London, United Kingdom",Contemporary Fiction,11
Ur Special,Paperback,2021,24.65,Danny Casale,5.0,Penguin Putnam Inc,192.0,United States,"Assertiveness, Motivation & Self-esteem",10
The Christmas Pig,Hardback,2021,34.39,J. K. Rowling,4.2,Hachette Children's Group,320.0,"London, United Kingdom",Children's Fiction,42
Heaven Official's Blessing,Paperback,2021,23.16,Mo Xiang Tong Xiu,4.85,"Seven Seas Entertainment, LLC",544.0,"West Hollywood, United States",Contemporary Fiction,32
Grandmaster of Demonic Cultivation,Paperback,2021,23.16,Mo Xiang Tong Xiu,4.89,"Seven Seas Entertainment, LLC",504.0,"West Hollywood, United States",Contemporary Fiction,48
Where the Crawdads Sing,Paperback,2019,14.67,Delia Owens,4.46,"Little, Brown Book Group",384.0,"London, United Kingdom",Contemporary Fiction,32
The Body Keeps the Score,Paperback,2015,22.08,Bessel van der Kolk,4.44,Penguin Books Ltd,560.0,"London, United Kingdom",Psychology,30
"Jujutsu Kaisen, Vol. 7",Paperback,2020,14.56,Gege Akutami,4.59,"Viz Media, Subs. of Shogakukan Inc",192.0,"San Francisco, United States",Graphic Novels: Manga,42
